site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_89,3,classifier_window_geo,60,0,0,True,13.725782711939354,13.081383879047014,13.081383879047014
site_135,4,classifier_window_geo,60,0,0,True,21.52976932675526,19.88212223333,19.872442229341633
site_39,4,classifier_window_geo,60,1,1,True,11.038660028838665,8.708514658601134,6.248475081718007
site_46,4,classifier_window_geo,60,0,0,True,22.55324544002498,20.627531217518687,20.313130433085526
site_51,4,classifier_window_geo,60,1,1,True,13.830233486194118,11.331518751011755,2.600302164821992
site_62,4,classifier_window_geo,60,0,0,True,17.130782642970694,15.060732824541002,15.038161315537748
site_65,4,classifier_window_geo,60,0,1,False,6.687233169689064,5.085293142660719,3.272454659003237
site_68,4,classifier_window_geo,60,4,5,False,27.05248200440875,24.758472928777866,24.58997677116036
site_76,4,classifier_window_geo,60,0,0,True,29.637648999598646,28.109812395582644,28.089286517294248
site_44,5,classifier_window_geo,60,2,2,True,15.805515748526545,13.022137258994318,12.679397146427542
site_48,5,classifier_window_geo,60,2,2,True,24.532985320829166,22.4121179204694,22.406296702011602
site_52,5,classifier_window_geo,60,1,2,False,22.73063212829323,20.379918041053887,19.42062285649097
site_61,5,classifier_window_geo,60,5,4,False,29.078259465767946,25.706611332091907,-12.033225247123083
site_71,5,classifier_window_geo,60,4,4,True,15.879675094702609,14.159138619880611,13.681955769185265
site_72,5,classifier_window_geo,60,5,5,True,15.912050883393265,11.919610124562864,2.6295879771080166
site_74,5,classifier_window_geo,60,2,2,True,26.24627817997742,24.750528959667406,24.43437329870142
site_91,5,classifier_window_geo,60,2,1,False,9.14866023721758,5.938561497520406,1.6701458539243224
site_35,1,window,14,5,1,False,14.272550780863641,12.18257899093189,9.877980348593447
site_36,1,window,14,0,4,False,15.919812971467959,11.53174549523062,-9.926716712108254
site_45,1,window,14,3,0,False,16.339570586191208,12.410408205802343,-7.70736582536196
site_54,1,window,14,3,4,False,36.640919970055364,33.60122392370702,-33.55234275635292
site_57,1,window,14,5,4,False,20.151731587536133,15.764459985077028,-15.342528562361634
site_66,1,window,14,5,1,False,11.001023809188979,10.01957234927588,9.697133696982506
site_79,1,window,14,4,4,True,6.230717883722679,4.896233084467385,-4.3150798683053875
site_26,2,window,14,3,4,False,5.321815219777626,3.9581242705799036,-0.11449835120577882
site_49,2,window,14,3,4,False,6.393087717241044,5.157978397583999,2.958170712939331
site_53,2,window,14,2,4,False,16.986682815941755,14.524845659609174,-14.359318089919341
site_58,2,window,14,4,4,True,14.948692457378089,11.657419959331992,-5.1126887751014625
site_59,2,window,14,4,4,True,24.433670707174432,18.05384254185937,-15.21541106548431
site_60,2,window,14,1,1,True,9.582827809473814,7.2367458498101085,-1.920671443860842
site_64,2,window,14,4,4,True,14.381681833513031,11.802425534593874,2.040949547006063
site_88,2,window,14,3,0,False,4.8860465467414995,3.7694630108330456,-2.518017795978268
site_29,3,window,14,1,0,False,6.305708267305176,4.973979182879625,0.03132001134222983
site_43,3,window,14,1,0,False,9.579138566667252,7.129778063068611,-4.554696112911614
site_47,3,window,14,1,0,False,11.242818204747548,8.845622783274258,-7.155239609000821
site_63,3,window,14,1,1,True,18.295027593332307,16.34717200947407,-0.5452739848879096
site_67,3,window,14,5,5,True,7.571294824122524,5.990358490378433,3.315163776101961
site_69,3,window,14,5,0,False,9.146429039533825,6.789872773294007,-3.233975098020413
site_70,3,window,14,1,4,False,13.64454735363406,11.90886648995255,10.944319937359
site_89,3,window,14,0,0,True,5.0396654037569615,3.986159195310757,0.6522208337181283
site_135,4,window,14,0,0,True,8.535175536206408,6.898934447635795,4.062567085953237
site_39,4,window,14,1,0,False,12.8790486219022,10.674689302433924,-9.885248102088566
site_46,4,window,14,0,0,True,9.34120308213567,7.782579235190003,0.2334551338863689
site_51,4,window,14,1,0,False,18.157252047111136,13.828744533296897,-12.83512064461682
site_62,4,window,14,0,0,True,5.900748362683953,4.408723738633392,1.6337251025193942
site_65,4,window,14,0,0,True,6.156482634666524,4.539763122077379,1.2667424742529767
site_68,4,window,14,4,2,False,10.1086604838365,7.404868800015762,0.24619590835712463
site_76,4,window,14,0,4,False,15.120253231708546,12.819992303066192,11.10411582894886
site_44,5,window,14,2,2,True,8.985222818680516,6.799315745817143,5.616023658227253
site_48,5,window,14,2,2,True,12.739276611790238,11.020171653664116,10.84466504133022
site_52,5,window,14,1,2,False,10.816898903898066,7.675253163720463,-0.7945481614853614
site_61,5,window,14,5,2,False,29.534973207541675,24.375034535765433,-14.326511227023099
site_71,5,window,14,4,2,False,10.41045437089643,8.829519911134945,7.4613658897263315
site_72,5,window,14,5,0,False,23.495126610044192,20.51698671199634,-20.393719654377435
